[[-73.96978452  40.75985933]
 [-73.78444926  40.64601198]
 [-74.00124851  40.72661026]
 [-73.86980436  40.77187975]
 [-73.95212125  40.78113662]
 [-73.13814729  41.36044909]
 [-73.95775742  39.62436723]
 [-75.36371712  40.74247446]
 [-73.98750675  40.73920535]
 [-73.99192577  40.75373511]
 [-73.97928029  40.78080412]
 [-74.22259297  40.68607457]
 [-74.63003178  40.14683081]
 [-73.97844279  40.61515274]
 [-73.95336624  40.71341181]
 [-74.00276309  40.74192275]
 [-73.94397487  40.81810468]
 [-73.98757216  40.72528433]
 [-73.41192672  40.6875028 ]
 [-74.01023716  40.71141781]
 [-73.96750066  40.79753781]
 [-73.92352515  40.75521549]
 [-73.95924594  40.770096  ]
 [-74.599677    41.15652905]
 [-73.98596209  40.68591893]
 [-73.98372185  40.7644443 ]
 [-74.08432797  40.99445228]
 [-73.83440975  40.72160262]
 [-73.97780165  40.74961615]
 [-73.71586718  40.98831313]]
